endpoint,max_abs_w_shift,max_rel_w_shift,max_matched,min_matched
lambda1_start_expansion48_s328_cont240000,0.05734790650924282,0.037011150021170586,1.8755400787673004,1.112926482227861
lambda1_start_expansion48_s329_cont200000,0.060444963851772116,0.03473967306170224,1.8786369761738388,1.1020882598997854
lambda1_start_expansion48_s330_cont120000,0.06937886563857631,0.03998608346158067,1.8875704166025613,1.0937592856664975
lambda1_start_expansion48_s331_cont120000,0.08396066076275721,0.05911116475541209,1.9017001600238097,1.127725281182419
lambda1_start_expansion48_s332_cont120000,0.07549012986739712,0.04455737916773026,1.8936813652379036,1.0998766003713465
lambda1_start_expansion48_s333_cont120000,0.05035393303506308,0.031033632089260837,1.8681954969040804,1.1074627717302539
lambda1_start_expansion48_s334_cont120000,0.05761410085280971,0.03374613992389669,1.875806259364252,1.0922047359697733
lambda1_start_expansion48_s335_cont120000,0.0463279613645895,0.03119021582738253,1.8645207027066681,1.0888320330916699
lambda1_start_expansion48_s336_cont120000,0.09918372696511679,0.06112792201820264,1.916855884814499,1.1069788007961072
lambda1_start_expansion48_s337_cont120000,0.10073070591561728,0.06208134060352413,1.9184501075210059,1.10105935911705
lambda1_start_expansion48_s338_cont120000,0.055236829200588033,0.044143814089153056,1.8734291104773702,1.0796129223776907
lambda1_start_expansion48_s339_cont120000,0.06743825761397915,0.03785655909573776,1.8856299087934374,1.092546923869691
lambda1_start_expansion48_s340_cont120000,0.0832239872800582,0.05129177497321216,1.8995211267446903,1.102374455186598
lambda1_start_expansion48_s341_cont120000,0.055439842620693014,0.037908082144322904,1.8736321134136031,1.1024025001823794
lambda1_start_expansion48_s342_cont120000,0.06539143411239223,0.03845599981683186,1.8835831909924265,1.1028036020491299
lambda1_start_expansion48_s343_cont120000,0.06339777795394497,0.03738076817653132,1.8815896377889256,1.0913683523976632
lambda1_start_expansion48_s344_cont120000,0.07046390859206753,0.04652633506189963,1.8886554035230507,1.1117180155693576
lambda1_start_expansion48_s345_cont120000,0.06542636243423061,0.037882934781345405,1.8836181175105218,1.0930258311240442
lambda1_start_expansion48_s346_cont120000,0.04503907052596645,0.04997062781192259,1.8632318784280117,1.0754659633834103
lambda1_start_expansion48_s347_cont120000,0.0717188247831686,0.04239089945408611,1.8899102549086793,1.091958855364397
lambda1_start_expansion48_s348_cont120000,0.06266082612594204,0.03448083868734086,1.880852724018055,1.0901555037085693
lambda1_start_expansion48_s349_cont160000,0.06764186708053188,0.03894080880057717,1.8858335077453376,1.1049493363617908
lambda1_start_expansion48_s350_cont120000,0.05822850553115444,0.03722801313068347,1.8764206323139556,1.0845349165158091
lambda1_start_expansion96_s351_cont120000,0.05689383832534389,0.03694765946238979,1.8750860340320616,1.0847344449753797
lambda1_start_expansion96_s352_cont120000,0.05719436494430141,0.035322027169990305,1.8753865451314413,1.1069820142852071
lambda1_start_expansion96_s353_cont120000,0.06658114282210903,0.038675454337472624,1.8847728382640683,1.0976446861237321
lambda1_start_expansion96_s354_cont120000,0.07963551370223598,0.04830081630723097,1.8978265349998347,1.0979102371775387
lambda1_start_expansion96_s355_cont120000,0.08640647775647059,0.06083310321996867,1.9034913063067445,1.1300749259852414
lambda1_start_expansion96_s356_cont120000,0.07899202195724087,0.0474228512849152,1.897183076485574,1.097998072546271
lambda1_start_expansion96_s357_cont120000,0.05085842674844199,0.03134455660595041,1.868442366593416,1.1088159427767135
lambda1_start_expansion96_s358_cont120000,0.058383596816860006,0.03447856112117418,1.8765757155905494,1.0921952902593886
