seed,run,chi2_total,max_abs_norm_pull,max_norm_pull_dataset,best_epoch,epochs_run,best_objective,restored_best,chi2_E288_200,ratio_E288_200,chi2_E288_300,ratio_E288_300,chi2_E288_400,ratio_E288_400,chi2_E605,ratio_E605,chi2_E772,ratio_E772
1011,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1011,1.7247956726713316,2.197925090789795,E772,300,300,1.7480089331511408,True,1.5687046208712259,0.996521847994843,1.5986444183098651,0.9611410707983569,1.2282367450477232,1.0035919265211686,2.055903111850914,0.9635614063440671,2.3189466610196394,0.9640490061959828
1012,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1012,1.832192428950664,2.292576551437378,E772,300,300,1.8626489529851824,True,1.2285421816429214,1.0141036795528362,1.9673840279755772,0.9742929721651488,2.565339624039671,1.0154955809840638,1.5357070168335127,1.016336788061528,1.4518772031726623,0.9498095747729779
1013,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1013,2.154783996867735,2.7258880138397217,E605,300,300,2.1808789796195924,True,1.5129867897975213,0.9721110968469271,1.318506051239411,0.9599467144994929,1.7385455719169005,1.024936862336449,3.2573681192185213,0.9945722226277427,2.9987032367326294,0.9645788022606179
1014,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1014,1.8427718171997642,0.7553759813308716,E772,300,300,1.846881163539365,True,1.505832220976016,0.9581573063963109,1.8043024340326113,0.9698380525620554,1.9422503054313878,1.006518782815548,1.3677005946123975,1.010348770173073,2.400885450682337,0.9882304611726197
1015,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1015,1.7034555027301626,1.953508734703064,E605,300,300,1.7190097444690764,True,1.1211685860635072,0.9720082668099027,1.3350706843625126,0.9973615655781802,1.7015319896391985,0.9954636418613939,2.105644064551184,1.0118379151181003,2.1309560951508675,0.9296921382911408
1016,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1016,1.8634857354892593,1.863836407661438,E605,300,300,1.882020729710348,True,1.5211991560518534,0.9366320695352681,1.3921946065827147,0.9549656816406489,2.0334159783231343,1.0126841284570907,1.9759956019313312,1.008566433893896,2.232241871576344,0.9561022080493081
1017,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1017,1.85110255891635,2.057316303253174,E288_300,300,300,1.8802507483051158,True,1.8483206425278569,0.9908188798530644,1.197856662623942,0.96584950110465,1.582342335082787,1.0015018483449818,2.2226501023564946,0.9971877231397568,2.486885333983914,0.9651988301941323
1018,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1018,1.9309847717382025,1.4971057176589966,E288_300,300,300,1.9496139506809413,True,1.9269606474454823,0.971328493070317,1.8376344615624383,0.9629755457116205,1.8964706431794347,1.0132455413782102,1.9267279552014944,0.9749305748319986,2.0682338489755874,0.9774442786626852
1019,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1019,1.7656305790452047,1.7519639730453491,E605,300,300,1.7780043417587876,True,1.2016994231190692,0.9633413678863016,1.721909740822987,0.9649309705857367,1.4506151548643074,1.0010141814122744,2.784349673673588,0.9814219042878338,1.7633408200451015,0.9719803574510278
1020,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1020,1.6706040839789111,1.6168204545974731,E288_200,300,300,1.68326379917562,True,2.4089173710947893,0.9412490477070301,1.716245648997989,0.9201960485588236,1.3828957039571712,1.004383344438456,1.660039173788804,0.9846472167592004,1.4681842531695108,0.9596527372545284
