dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error,row_correction_note,A_over_PreFactor,dA_over_PreFactor,ratio_CS_to_A_over_PreFactor,ratio_error_to_dA_over_PreFactor
E288_300,E288_300:43,2.3,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.316611429,0.098308571,0.0219,0.0068,0.06916996,15%,0.00%,,,0.3538461538461538,0.3166114307424784,0.0983085721026873,5.5035232926289715e-09,1.1216594042891272e-08,Data/E288_300.csv,43,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.310502283,,0.3166114307424784,0.0983085721026873,0.9999999944964768,0.999999988783406
E288_300,E288_300:44,2.5,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.298571429,0.102142857,0.019,0.0065,0.063636364,15%,0.00%,,,0.3846153846153846,0.2985714268653061,0.1021428565591836,7.149692364295841e-09,4.315684334976247e-09,Data/E288_300.csv,44,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.342105263,,0.2985714268653061,0.1021428565591836,1.0000000071496924,1.0000000043156845
E288_300,E288_300:45,2.7,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.134074286,0.067885714,0.0079,0.004,0.058922559,15%,0.00%,,,0.4153846153846154,0.1340742855380738,0.067885714196493,3.445300197130961e-09,2.8944684498263233e-09,Data/E288_300.csv,45,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.506329114,,0.1340742855380738,0.067885714196493,1.0000000034453005,0.9999999971055316
E288_300,E288_300:46,2.9,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.200514286,0.091142857,0.011,0.005,0.054858934,15%,0.00%,,,0.4461538461538461,0.2005142863330155,0.0911428574240979,1.6608068689351759e-09,4.6531124551646045e-09,Data/E288_300.csv,46,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.454545455,,0.2005142863330155,0.0911428574240979,0.9999999983391932,0.9999999953468875
E288_300,E288_300:47,3.1,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.037022857,0.037022857,0.0019,0.0019,0.051319648,15%,0.00%,,,0.4769230769230769,0.037022857210556,0.037022857210556,5.687191518439071e-09,5.687191518439071e-09,Data/E288_300.csv,47,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,1.0,,0.037022857210556,0.037022857210556,0.9999999943128084,0.9999999943128084
E288_300,E288_300:50,0.1,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.179771429,0.024514286,0.286,0.039,1.590909091,15%,0.00%,,,0.0133333333333333,0.1797714285611558,0.0245142857128848,2.441122764305749e-09,1.1712154395454357e-08,Data/E288_300.csv,50,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.136363636,,0.1797714285611558,0.0245142857128848,1.0000000024411229,1.0000000117121546
E288_300,E288_300:51,0.3,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.477085714,0.041485714,0.253,0.022,0.53030303,15%,0.00%,,,0.04,0.4770857145583347,0.0414857143094204,1.170302724982139e-09,7.45848085575019e-09,Data/E288_300.csv,51,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.086956522,,0.4770857145583347,0.0414857143094204,0.9999999988296971,0.9999999925415192
E288_300,E288_300:52,0.5,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.744857143,0.059714286,0.237,0.019,0.318181818,15%,0.00%,,,0.0666666666666666,0.7448571432827754,0.0597142857484081,3.796370367584833e-10,4.21326041880696e-09,Data/E288_300.csv,52,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.080168776,,0.7448571432827754,0.0597142857484081,0.999999999620363,1.0000000042132604
E288_300,E288_300:53,0.7,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.8668,0.0704,0.197,0.016,0.227272727,15%,0.00%,,,0.0933333333333333,0.86680000104016,0.07040000008448,1.199999950296885e-09,1.1999998912586495e-09,Data/E288_300.csv,53,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.081218274,,0.86680000104016,0.07040000008448,0.9999999988,0.9999999988
E288_300,E288_300:54,0.9,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.820285714,0.0792,0.145,0.014,0.176767677,15%,0.00%,,,0.12,0.8202857132076243,0.0791999998959085,9.659752779663623e-10,1.3142859065372367e-09,Data/E288_300.csv,54,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.096551724,,0.8202857132076243,0.0791999998959085,1.0000000009659753,1.000000001314286
E288_300,E288_300:55,1.1,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.760571429,0.082971429,0.11,0.012,0.144628099,15%,0.00%,,,0.1466666666666666,0.7605714294841143,0.0829714286709942,6.365139228650784e-10,3.965289202907041e-09,Data/E288_300.csv,55,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.109090909,,0.7605714294841143,0.0829714286709942,0.999999999363486,1.0000000039652892
E288_300,E288_300:56,1.3,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.638188571,0.08008,0.0781,0.0098,0.122377622,15%,0.00%,,,0.1733333333333333,0.6381885733978391,0.0800800002471039,3.757257867640276e-09,3.085714151911563e-09,Data/E288_300.csv,56,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.125480154,,0.6381885733978391,0.0800800002471039,0.9999999962427422,0.999999996914286
E288_300,E288_300:57,1.5,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.358285714,0.067885714,0.038,0.0072,0.106060606,15%,0.00%,,,0.2,0.358285714490449,0.0678857143245061,1.3688768345995954e-09,4.780182688677944e-09,Data/E288_300.csv,57,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.189473684,,0.358285714490449,0.0678857143245061,0.9999999986311232,0.9999999952198172
E288_300,E288_300:58,1.7,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.495817143,0.087622857,0.0464,0.0082,0.093582888,15%,0.00%,,,0.2266666666666666,0.4958171412705279,0.087622856862464,3.48812478546991e-09,1.569636065171747e-09,Data/E288_300.csv,58,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.176724138,,0.4958171412705279,0.087622856862464,1.000000003488125,1.000000001569636
E288_300,E288_300:59,1.9,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.229302857,0.05852,0.0192,0.0049,0.083732057,15%,0.00%,,,0.2533333333333333,0.2293028582828199,0.058520000290928,5.594434868642376e-09,4.9714284949524765e-09,Data/E288_300.csv,59,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.255208333,,0.2293028582828199,0.058520000290928,0.9999999944055652,0.9999999950285716
E288_300,E288_300:60,2.1,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.33,0.0792,0.025,0.006,0.075757576,15%,0.00%,,,0.28,0.329999998944,0.07919999974656,3.1999998610517237e-09,3.199999889087658e-09,Data/E288_300.csv,60,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.24,,0.329999998944,0.07919999974656,1.0000000031999998,1.0000000031999998
E288_300,E288_300:61,2.3,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.170594286,0.059274286,0.0118,0.0041,0.06916996,15%,0.00%,,,0.3066666666666666,0.1705942868840751,0.0592742861207379,5.1823253114743665e-09,2.0369365739739064e-09,Data/E288_300.csv,61,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.347457627,,0.1705942868840751,0.0592742861207379,0.9999999948176748,0.9999999979630634
E288_300,E288_300:62,2.5,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.081714286,0.042428571,0.0052,0.0027,0.063636364,15%,0.00%,,,0.3333333333333333,0.0817142852473469,0.0424285711861224,9.210789223229711e-09,4.386724454339901e-09,Data/E288_300.csv,62,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,0.519230769,,0.0817142852473469,0.0424285711861224,1.0000000092107892,0.9999999956132756
E288_300,E288_300:63,2.9,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.020051429,0.020051429,0.0011,0.0011,0.054858934,15%,0.00%,,,0.3866666666666666,0.0200514286333015,0.0200514286333015,1.8287895885817416e-08,1.8287895885817416e-08,Data/E288_300.csv,63,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,1.0,,0.0200514286333015,0.0200514286333015,1.0000000182878963,1.0000000182878963
E288_300,E288_300:64,3.1,7.5,0.21,0.133758347,0.390019266,0.256260918,23.72340616,300.0,0.023382857,0.023382857,0.0012,0.0012,0.051319648,15%,0.00%,,,0.4133333333333333,0.0233828571856143,0.0233828571856143,7.938053193547828e-09,7.938053193547828e-09,Data/E288_300.csv,64,0.197047595,0.22476024,7.0,8.0,0.124841124,0.142675571,1.0,,0.0233828571856143,0.0233828571856143,0.9999999920619468,0.9999999920619468
E288_300,E288_300:67,0.1,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.060342857,0.012571429,0.096,0.02,1.590909091,15%,0.00%,,,0.0117647058823529,0.0603428571394089,0.0125714285707102,2.310281349381997e-09,3.414805082375343e-08,Data/E288_300.csv,67,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.208333333,,0.0603428571394089,0.0125714285707102,0.9999999976897188,1.000000034148052
E288_300,E288_300:68,0.3,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.132,0.020742857,0.07,0.011,0.53030303,15%,0.00%,,,0.0352941176470588,0.1320000000754286,0.0207428571547102,5.714286364053538e-10,7.45848085575019e-09,Data/E288_300.csv,68,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.157142857,,0.1320000000754286,0.0207428571547102,0.9999999994285712,0.9999999925415192
E288_300,E288_300:69,0.5,8.5,0.21,0.151592794,0.442021834,0.290429041,23.72340616,300.0,0.22,0.028285714,0.07,0.009,0.318181818,15%,0.00%,,,0.0588235294117647,0.2200000001257143,0.0282857143018775,5.714286364053538e-10,1.0672438533579672e-08,Data/E288_300.csv,69,0.198488402,0.222917779,8.0,9.0,0.142675571,0.160510017,0.128571429,,0.2200000001257143,0.0282857143018775,0.9999999994285712,0.9999999893275616
