endpoint,row_id,W_lambda1_fiducial
lambda1_start_expansion96_s386_cont120000,LHCb_7:10,0.7852809429168701
lambda1_start_expansion96_s387_cont120000,LHCb_7:10,0.783115029335022
lambda1_start_expansion96_s388_cont120000,LHCb_7:10,0.7826427817344666
lambda1_start_expansion96_s389_cont120000,LHCb_7:10,0.782331645488739
lambda1_start_expansion96_s390_cont120000,LHCb_7:10,0.7807048559188843
lambda1_start_expansion96_s391_cont120000,LHCb_7:10,0.7824119329452515
lambda1_start_expansion96_s392_cont120000,LHCb_7:10,0.7825720906257629
lambda1_start_expansion96_s393_cont120000,LHCb_7:10,0.7803519368171692
lambda1_start_expansion96_s394_cont120000,LHCb_7:10,0.7841026186943054
lambda1_start_expansion96_s395_cont120000,LHCb_7:10,0.7820835113525391
lambda1_start_expansion96_s396_cont120000,LHCb_7:10,0.7847878336906433
lambda1_start_expansion96_s397_cont120000,LHCb_7:10,0.7817310690879822
lambda1_start_expansion96_s398_cont120000,LHCb_7:10,0.7814728021621704
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,LHCb_7:11,0.445834755897522
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,LHCb_7:11,0.4474233388900757
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,LHCb_7:11,0.44585931301116943
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,LHCb_7:11,0.44421327114105225
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,LHCb_7:11,0.44814205169677734
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,LHCb_7:11,0.4450463056564331
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,LHCb_7:11,0.44492578506469727
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,LHCb_7:11,0.44667792320251465
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,LHCb_7:11,0.4442540407180786
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,LHCb_7:11,0.44576966762542725
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,LHCb_7:11,0.4471818208694458
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s314,LHCb_7:11,0.4460228681564331
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s315,LHCb_7:11,0.44648849964141846
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s316,LHCb_7:11,0.4458503723144531
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s317,LHCb_7:11,0.44644641876220703
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s318,LHCb_7:11,0.44615745544433594
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s319,LHCb_7:11,0.44731760025024414
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s320,LHCb_7:11,0.4457848072052002
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s321,LHCb_7:11,0.445709228515625
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s322,LHCb_7:11,0.44588661193847656
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s323,LHCb_7:11,0.44592738151550293
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,LHCb_7:11,0.4461320638656616
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,LHCb_7:11,0.4441624879837036
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,LHCb_7:11,0.4476369619369507
lambda1_start_expansion48_s327_cont320000,LHCb_7:11,0.44747650623321533
lambda1_start_expansion48_s328_cont240000,LHCb_7:11,0.4479489326477051
lambda1_start_expansion48_s329_cont200000,LHCb_7:11,0.4470939636230469
lambda1_start_expansion48_s330_cont120000,LHCb_7:11,0.44657599925994873
lambda1_start_expansion48_s331_cont120000,LHCb_7:11,0.44798314571380615
lambda1_start_expansion48_s332_cont120000,LHCb_7:11,0.4467315673828125
lambda1_start_expansion48_s333_cont120000,LHCb_7:11,0.44478416442871094
lambda1_start_expansion48_s334_cont120000,LHCb_7:11,0.4476872682571411
lambda1_start_expansion48_s335_cont120000,LHCb_7:11,0.4446268081665039
lambda1_start_expansion48_s336_cont120000,LHCb_7:11,0.4478168487548828
lambda1_start_expansion48_s337_cont120000,LHCb_7:11,0.4495570659637451
lambda1_start_expansion48_s338_cont120000,LHCb_7:11,0.448012113571167
lambda1_start_expansion48_s339_cont120000,LHCb_7:11,0.44769883155822754
lambda1_start_expansion48_s340_cont120000,LHCb_7:11,0.44762659072875977
lambda1_start_expansion48_s341_cont120000,LHCb_7:11,0.4475499391555786
lambda1_start_expansion48_s342_cont120000,LHCb_7:11,0.4465329647064209
lambda1_start_expansion48_s343_cont120000,LHCb_7:11,0.4476814270019531
lambda1_start_expansion48_s344_cont120000,LHCb_7:11,0.44746291637420654
lambda1_start_expansion48_s345_cont120000,LHCb_7:11,0.4470505714416504
lambda1_start_expansion48_s346_cont120000,LHCb_7:11,0.4480893611907959
lambda1_start_expansion48_s347_cont120000,LHCb_7:11,0.4472759962081909
lambda1_start_expansion48_s348_cont120000,LHCb_7:11,0.4483429193496704
lambda1_start_expansion48_s349_cont160000,LHCb_7:11,0.447301983833313
lambda1_start_expansion48_s350_cont120000,LHCb_7:11,0.4481074810028076
lambda1_start_expansion96_s351_cont120000,LHCb_7:11,0.44715094566345215
lambda1_start_expansion96_s352_cont120000,LHCb_7:11,0.44790220260620117
lambda1_start_expansion96_s353_cont120000,LHCb_7:11,0.44723963737487793
lambda1_start_expansion96_s354_cont120000,LHCb_7:11,0.44655096530914307
lambda1_start_expansion96_s355_cont120000,LHCb_7:11,0.4479881525039673
lambda1_start_expansion96_s356_cont120000,LHCb_7:11,0.44600510597229004
lambda1_start_expansion96_s357_cont120000,LHCb_7:11,0.4447755813598633
lambda1_start_expansion96_s358_cont120000,LHCb_7:11,0.44765353202819824
lambda1_start_expansion96_s359_cont120000,LHCb_7:11,0.44463491439819336
lambda1_start_expansion96_s360_cont120000,LHCb_7:11,0.4478025436401367
lambda1_start_expansion96_s361_cont120000,LHCb_7:11,0.4494525194168091
lambda1_start_expansion96_s362_cont120000,LHCb_7:11,0.44823217391967773
lambda1_start_expansion96_s363_cont120000,LHCb_7:11,0.44759273529052734
lambda1_start_expansion96_s364_cont120000,LHCb_7:11,0.447177529335022
lambda1_start_expansion96_s365_cont120000,LHCb_7:11,0.4470306634902954
lambda1_start_expansion96_s366_cont120000,LHCb_7:11,0.44670891761779785
lambda1_start_expansion96_s367_cont120000,LHCb_7:11,0.4478893280029297
lambda1_start_expansion96_s368_cont120000,LHCb_7:11,0.44748759269714355
lambda1_start_expansion96_s369_cont120000,LHCb_7:11,0.44694459438323975
