endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nlo_scale_nuisance_sigma,max_absolute_pull,min_prediction,max_prediction,pass_diagnostic_gate
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,late_0p22_0p32,True,5.286733095425737,1.3216832738564344,24.290959448810217,6.072739862202554,-1.0018627475932123,4.2426993044958365,1.8901157880261619,0.007753568756646923,0.9991744447419706,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,early_0p18_0p28,True,5.167062073028431,1.2917655182571077,23.942967592647157,5.985741898161789,-0.7432657505893746,4.268894651267415,1.7997355165137203,0.007775070003383655,0.9944981051282638,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,central_0p20_0p30,True,5.229330539987641,1.3073326349969103,24.28944995268767,6.072362488171917,-0.9801903805100137,4.254332642219654,1.849977963883467,0.007763117447372519,0.9970789075795048,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,late_0p22_0p32,True,5.29260491260467,1.3231512281511675,24.389834398685252,6.097458599671313,-1.0504225029351562,4.241914903838598,1.8928221596956778,0.007752924917410175,0.9988336230592282,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,early_0p18_0p28,True,5.1669031637662055,1.2917257909415514,23.831789635627246,5.957947408906811,-0.682868342576588,4.265979055101858,1.8097950272871959,0.00777267687024108,0.9955477207178367,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,central_0p20_0p30,True,5.227332118612431,1.3068330296531077,24.12498773261285,6.031246933153213,-0.8979930210467931,4.253382671257275,1.8532555930844672,0.0077623377073586545,0.997841623369267,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,late_0p22_0p32,True,5.281680353453771,1.3204200883634427,24.214941743918857,6.053735435979714,-0.9623386798615174,4.243485083714503,1.8874046599868537,0.007754213727412473,0.9994444885107363,False
lambda1_start_expansion48_s327_cont320000,early_0p18_0p28,True,5.166752506065402,1.2916881265163505,23.844873773653298,5.961218443413324,-0.6903377620628395,4.266328051364307,1.8085909059128142,0.007772963327786939,0.9954219815850329,False
lambda1_start_expansion48_s327_cont320000,central_0p20_0p30,True,5.227638081060932,1.306909520265233,24.14411414905056,6.03602853726264,-0.9080548374128556,4.2534588842776815,1.852992639761603,0.007762400263314512,0.9977510263715772,False
lambda1_start_expansion48_s327_cont320000,late_0p22_0p32,True,5.283922364102914,1.3209805910257284,24.2343680658306,6.05859201645765,-0.9730947473213498,4.2430569539499805,1.88888181105103,0.007753862316767576,0.9993701045463564,False
lambda1_start_expansion48_s328_cont240000,early_0p18_0p28,True,5.1668988576609465,1.2917247144152366,23.832202299399974,5.9580505748499935,-0.6831063167876527,4.265989826722965,1.809757862593453,0.007772685711631316,0.9955437369831243,False
lambda1_start_expansion48_s328_cont240000,central_0p20_0p30,True,5.227504486118268,1.306876121529567,24.125435186857743,6.031358796714436,-0.8983254274080783,4.253344816401742,1.8533862014765161,0.007762306635939898,0.9978388268546028,False
lambda1_start_expansion48_s328_cont240000,late_0p22_0p32,True,5.282856777517581,1.3207141943793952,24.214433141787392,6.053608285446848,-0.962691617100497,4.243206477963834,1.888365917099045,0.007753985046683807,0.9994400310625012,False
lambda1_start_expansion48_s329_cont200000,early_0p18_0p28,True,5.166650123500836,1.291662530875209,23.857552659921367,5.964388164980342,-0.6974768466558791,4.26666480811412,1.8074290138123914,0.0077732397390912495,0.9953007433983294,False
lambda1_start_expansion48_s329_cont200000,central_0p20_0p30,True,5.227832705242424,1.306958176310606,24.16278614724095,6.040696536810238,-0.917692186676283,4.253562564781648,1.8526349169881358,0.0077624853646921345,0.9976634395625654,False
lambda1_start_expansion48_s329_cont200000,late_0p22_0p32,True,5.285283983836439,1.3213209959591097,24.25406934819571,6.0635173370489275,-0.9834049203522882,4.242841044275189,1.8896267515627938,0.007753685097231945,0.9992997578525553,False
lambda1_start_expansion48_s330_cont120000,early_0p18_0p28,True,5.1665836988534055,1.2916459247133514,23.873169618400066,5.9682924046000165,-0.7061417404779957,4.267077426283869,1.8060053814956294,0.007773578417756326,0.995152199126383,False
lambda1_start_expansion48_s330_cont120000,central_0p20_0p30,True,5.228068020761706,1.3070170051904264,24.185844463123175,6.046461115780794,-0.929426087911449,4.253697637288186,1.8521688842258566,0.0077625962327526245,0.9975558657802854,False
lambda1_start_expansion48_s330_cont120000,late_0p22_0p32,True,5.286764808064761,1.3216912020161902,24.278598008178307,6.069649502044577,-0.9959667703299713,4.242626944772782,1.8903654465427453,0.0077535093634931405,0.9992137279062676,False
lambda1_start_expansion48_s331_cont120000,early_0p18_0p28,True,5.16689169949087,1.2917229248727176,23.832756495857716,5.958189123964429,-0.6834247807011723,4.266004613861828,1.809706843393864,0.007772697848974792,0.9955383975341514,False
lambda1_start_expansion48_s331_cont120000,central_0p20_0p30,True,5.227538276370275,1.3068845690925688,24.126224696414763,6.031556174103691,-0.8987554420203873,4.2533428118931615,1.8533931175151315,0.007762304990631136,0.9978349932636192,False
lambda1_start_expansion48_s331_cont120000,late_0p22_0p32,True,5.283096178787577,1.3207740446968943,24.215110351992966,6.053777587998241,-0.9631508654818671,4.243153848675171,1.888547500852839,0.007753941848350493,0.9994366012990664,False
