endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nnlo_scale_nuisance_sigma,max_whitened_pull,min_prediction,max_prediction,all_positive
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s320,early_0p18_0p28,True,11.23894779134746,2.809736947836865,18.276273048198927,4.569068262049732,0.8744593299794119,2.5045251320486734,2.9978911796651673,0.007959873615024643,0.9813482388014464,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s320,central_0p20_0p30,True,14.300969851106226,3.5752424627765564,26.10258530843182,6.525646327107955,2.5531581522323465,2.2984775193625677,3.1551642127444532,0.007840153016269644,0.9566280702177739,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s320,late_0p22_0p32,True,15.325333947195194,3.8313334867987985,30.389219630033697,7.597304907508424,3.2339018535496122,2.146104490570505,3.1469334547214487,0.007751619157501339,0.9508482436982086,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s321,early_0p18_0p28,True,11.241586246750623,2.810396561687656,18.27548055439891,4.568870138599728,0.8723523885534783,2.504574937555937,2.998207803488107,0.007959902553700871,0.9813241025686921,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s321,central_0p20_0p30,True,14.329236698922603,3.582309174730651,26.131033083116172,6.532758270779043,2.553787081757567,2.2978180792311944,3.1567162690051043,0.007839769859355854,0.9564537772230614,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s321,late_0p22_0p32,True,15.363516877376224,3.840879219344056,30.43999670498195,7.609999176245488,3.2369430805150206,2.1444531519974173,3.1481137930573215,0.007750659674204541,0.9506166411558611,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s322,early_0p18_0p28,True,11.242681888520345,2.810670472130086,18.27514680735096,4.56878670183774,0.8714733364315865,2.504595604627504,2.998339121898889,0.007959914561965127,0.981314089328226,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s322,central_0p20_0p30,True,14.340985143931139,3.5852462859827847,26.142879042024056,6.535719760506014,2.554026409931665,2.297573284024796,3.1574401059792625,0.007839627625100865,0.9563816142980416,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s322,late_0p22_0p32,True,15.380370794376011,3.845092698594003,30.46253384503812,7.61563346125953,3.2381182808924907,2.1440039761185075,3.1493679037803144,0.007750398687899151,0.9505195474259494,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s323,early_0p18_0p28,True,11.248109021680317,2.8120272554200794,18.27345387520899,4.568363468802247,0.8670834807418105,2.5046978043175865,2.998988744793666,0.007959973943425217,0.9812645662224103,True
