endpoint,row_id,profile,qT,W_lambda1_fiducial,FO_DYTurbo,FO_DYTurbo_unc,profile_value,matched_lambda1,CS,error
lambda1_start_expansion96_s392_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7825720906257629,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8123201230996893,1.003090909,0.028490973
lambda1_start_expansion96_s393_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7803519368171692,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8115775802463884,1.003090909,0.028490973
lambda1_start_expansion96_s394_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7841026186943054,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8128320167688007,1.003090909,0.028490973
lambda1_start_expansion96_s395_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7820835113525391,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8121567150303028,1.003090909,0.028490973
lambda1_start_expansion96_s396_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7847878336906433,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8130611907550964,1.003090909,0.028490973
lambda1_start_expansion96_s397_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7817310690879822,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8120388387445541,1.003090909,0.028490973
lambda1_start_expansion96_s398_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7814728021621704,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8119524599273464,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,LHCb_7:10,central_0p20_0p30,21.75,0.7782902121543884,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7969063186201477,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,LHCb_7:10,central_0p20_0p30,21.75,0.7824416160583496,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7994798481521943,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,LHCb_7:10,central_0p20_0p30,21.75,0.7783990502357483,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7969737892934599,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,LHCb_7:10,central_0p20_0p30,21.75,0.7742655277252197,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7944113447570285,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,LHCb_7:10,central_0p20_0p30,21.75,0.7843670845031738,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.8006734804800559,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,LHCb_7:10,central_0p20_0p30,21.75,0.7760269045829773,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7955032537751265,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,LHCb_7:10,central_0p20_0p30,21.75,0.7764087319374084,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7957399553814999,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,LHCb_7:10,central_0p20_0p30,21.75,0.7809591293334961,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7985608281157105,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,LHCb_7:10,central_0p20_0p30,21.75,0.77447509765625,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7945412609056406,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,LHCb_7:10,central_0p20_0p30,21.75,0.7781038284301758,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7967907760158504,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,LHCb_7:10,central_0p20_0p30,21.75,0.7816910147666931,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.799014536986247,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s314,LHCb_7:10,central_0p20_0p30,21.75,0.7786951661109924,0.8272693821276851,0.0191403677030986,0.38008211400701114,0.7971573568208501,1.003090909,0.028490973
