dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error
E288_300,E288_300:27,2.5,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,0.502857143,0.204285714,0.032,0.013,0.063636364,0.00%,0.00%,,,0.45454545454545453,0.5028571399836735,0.20428571311836735,5.9983763835390796e-09,4.315684334976247e-09,Data/E288_300.csv,27,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.40625
E288_300,E288_300:28,2.7,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,0.2376,0.203657143,0.014,0.012,0.058922559,0.00%,0.00%,,,0.49090909090909096,0.23759999968772572,0.2036571425894792,1.3142857313126432e-09,2.015744725383033e-09,Data/E288_300.csv,28,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.857142857
E288_300,E288_300:32,0.1,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.533657143,0.044,0.849,0.07,1.590909091,0.00%,0.00%,,,0.015384615384615385,0.5336571428266481,0.04399999999748572,3.2483756785301546e-10,5.714273751148111e-11,Data/E288_300.csv,32,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.082449941
E288_300,E288_300:33,0.3,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.476514286,0.081085714,0.783,0.043,0.53030303,0.00%,0.00%,,,0.04615384615384615,1.476514286558008,0.08108571433204897,3.779225770206611e-10,4.095036645938532e-09,Data/E288_300.csv,33,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.054916986
E288_300,E288_300:34,0.5,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,2.058571429,0.11,0.655,0.035,0.318181818,0.00%,0.00%,,,0.07692307692307693,2.0585714297477553,0.11000000006285715,3.63239856676293e-10,5.714286364053538e-10,Data/E288_300.csv,34,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.053435115
E288_300,E288_300:35,0.7,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,2.376,0.1452,0.54,0.033,0.227272727,0.00%,0.00%,,,0.10769230769230768,2.3760000028512,0.14520000017424,1.2000000679434477e-09,1.2000000764391857e-09,Data/E288_300.csv,35,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.061111111
E288_300,E288_300:36,0.9,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,2.342057143,0.169714286,0.414,0.03,0.176767677,0.00%,0.00%,,,0.13846153846153847,2.34205713977901,0.16971428549123263,1.3752822841280867e-09,2.997787478971263e-09,Data/E288_300.csv,36,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.072463768
E288_300,E288_300:37,1.1,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.977485714,0.165942857,0.286,0.024,0.144628099,0.00%,0.00%,,,0.16923076923076924,1.9774857166586968,0.16594285734198858,1.3444834497974549e-09,2.060881569864197e-09,Data/E288_300.csv,37,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.083916084
E288_300,E288_300:38,1.3,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.528057143,0.155257143,0.187,0.019,0.122377622,0.00%,0.00%,,,0.2,1.5280571475722906,0.15525714333622204,2.9922248349434733e-09,2.165581840399529e-09,Data/E288_300.csv,38,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.101604278
E288_300,E288_300:39,1.5,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.716,0.188571429,0.182,0.02,0.106060606,0.00%,0.00%,,,0.23076923076923078,1.7160000009805714,0.18857142867918367,5.714285555324646e-10,1.7012987991481464e-09,Data/E288_300.csv,39,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.10989011
