qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,BeamE,frac_error
0.3,0.354,0.53030303,0.667542857,0.009,0.016971429,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.025423729
0.5,0.328,0.318181818,1.030857143,0.008,0.025142857,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.024390244
0.7,0.28,0.227272727,1.232,0.007,0.0308,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.025
0.9,0.221,0.176767677,1.250228571,0.007,0.0396,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.031674208
1.1,0.17,0.144628099,1.175428571,0.006,0.041485714,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.035294118
1.3,0.125,0.122377622,1.021428571,0.005,0.040857143,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.04
1.5,0.086,0.106060606,0.810857143,0.004,0.037714286,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.046511628
1.7,0.055,0.093582888,0.587714286,0.003,0.032057143,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.054545455
1.9,0.047,0.083732057,0.561314286,0.003,0.035828571,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.063829787
2.1,0.027,0.075757576,0.3564,0.002,0.0264,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.074074074
2.3,0.02,0.06916996,0.289142857,0.002,0.028914286,0.00%,0.00%,0.03,0.028125511,0.032142144,7.5,7,8,27.39342987,0.016429761,0.015334444,0.017525078,0.282126373,0.265696612,400,0.1
