qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,frac_error
2.375,0.0494,0.008962318,5.511967112,0.00709,0.791090017,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.143522267
2.625,0.034,0.008108764,4.192994372,0.00679,0.837365641,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.199705882
2.875,0.0295,0.007403654,3.984519162,0.0095,1.283150239,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.322033898
3.125,0.00844,0.006811361,1.23910618,0.00317,0.465398885,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.375592417
3.375,0.00573,0.006306816,0.908540839,0.00376,0.596180376,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.656195462
0.125,0.755,0.150155282,5.028128137,0.0752,0.500814882,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.099602649
0.375,0.639,0.050051761,12.76678363,0.0367,0.733240938,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.05743349
0.625,0.453,0.030031056,15.08438441,0.0229,0.762543936,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.050551876
0.875,0.387,0.021450755,18.04132334,0.0192,0.895073406,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.049612403
1.125,0.239,0.01668392,14.32517036,0.0131,0.785187162,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.054811715
1.375,0.172,0.01365048,12.60028932,0.0105,0.769203708,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.061046512
1.625,0.12,0.011550406,10.38924489,0.00867,0.750622943,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.07225
1.875,0.0743,0.010010352,7.422316303,0.00701,0.700275064,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.094347241
2.125,0.0434,0.008832664,4.913580052,0.00555,0.628349523,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.127880184
2.375,0.0199,0.00790291,2.518059932,0.00343,0.434017365,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.172361809
2.625,0.0102,0.007150252,1.426523241,0.00249,0.348239497,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.244117647
2.875,0.007,0.006528491,1.072223351,0.00249,0.381405163,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.355714286
3.125,0.00323,0.006006211,0.537776619,0.00248,0.412905887,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.767801858
3.375,0.00666,0.005561307,1.197560267,0.00597,1.073488708,0.00%,0.00%,0.441943177,0.418764037,0.467755333,8.5,8,9,38.8,0.2,0.1,0.3,0.340816556,0.140816556,0.896396396
0.125,0.0868,0.110857587,0.782986556,0.0294,0.265205124,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.338709677
0.375,0.0916,0.036952529,2.478856055,0.0169,0.45734353,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.184497817
0.625,0.0378,0.022171517,1.704890082,0.00769,0.346841395,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.203439153
0.875,0.0373,0.015836798,2.355274076,0.00644,0.406647857,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.172654155
1.125,0.0359,0.01231751,2.914550187,0.00541,0.439212159,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.150696379
1.375,0.0155,0.010077962,1.538009307,0.00342,0.339354312,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.220645161
1.625,0.0111,0.008527507,1.301670047,0.0025,0.293168929,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.225225225
1.875,0.00945,0.007390506,1.278667561,0.00246,0.332859492,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.26031746
2.125,0.00506,0.006521035,0.775950502,0.00158,0.242292844,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.312252964
2.375,0.00172,0.00583461,0.294792634,0.000821,0.140712066,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.477325581
2.625,0.00145,0.005278933,0.274676735,0.000876,0.165942635,0.00%,0.00%,0.33129753,0.317949187,0.345794618,11.5,11,12,38.8,0.2,0.1,0.3,0.412806763,0.212806763,0.604137931
0.125,0.0292,0.101965218,0.286372162,0.0215,0.210856215,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.73630137
0.375,0.0184,0.033988406,0.541361074,0.00683,0.200950877,0.00%,0.00%,0.305620061,0.294199157,0.317949187,12.5,12,13,38.8,0.2,0.1,0.3,0.43732811,0.23732811,0.371195652
