mode,reference,quantity,pid,flavor,x,Q,active_points,rel_diff_median_active,rel_diff_p90_active,rel_diff_max_active
expb,expb2,x_ftilde,-1,dbar,0.5,5.0,129,5.724312397977091e-08,2.1985049440234567e-07,6.827703265145548e-07
expb,expb2,x_ftilde,-1,dbar,0.5,10.0,131,5.693433396170603e-08,2.3114799048591585e-07,3.9911757676606294e-07
expb,expb2,x_ftilde,1,d,0.1,5.0,131,0.0004699033642754182,0.0012007174255386094,0.0015353103251974666
expb,expb2,x_ftilde,1,d,0.1,10.0,141,0.00048346944547902096,0.0012073993037416471,0.001583643791573058
expb,expb2,x_ftilde,1,d,0.2,5.0,143,5.7934448675286396e-05,0.00013791140181459085,0.00020519408516847542
expb,expb2,x_ftilde,1,d,0.2,10.0,145,5.740781485872359e-05,0.0001403777749153877,0.00022654243354527906
expb,expb2,x_ftilde,1,d,0.3,5.0,142,0.00010825843618026968,0.00025533290614139514,0.0003373091370843503
expb,expb2,x_ftilde,1,d,0.3,10.0,146,0.00010682908565907222,0.00023157678722775542,0.00033451218263657196
expb,expb2,x_ftilde,1,d,0.5,5.0,121,6.47281339115195e-08,1.4328239462414435e-07,5.002056561368598e-07
expb,expb2,x_ftilde,1,d,0.5,10.0,122,6.387140686208281e-08,1.58004076898354e-07,4.861149690187736e-07
expb,expb2,x_ftilde,2,u,0.1,5.0,140,0.0005029493423409541,0.0012252022538331876,0.0014030390270596072
expb,expb2,x_ftilde,2,u,0.1,10.0,151,0.0005382119257535671,0.0012605711410120803,0.0013937388491588995
expb,expb2,x_ftilde,2,u,0.2,5.0,145,5.562939095226167e-05,0.0001412663128283378,0.00022259129058003078
expb,expb2,x_ftilde,2,u,0.2,10.0,148,5.644895405352174e-05,0.0001365415141684374,0.00025355300979598846
expb,expb2,x_ftilde,2,u,0.3,5.0,146,0.00010718573550926783,0.00022945640102105784,0.0003425566769014465
expb,expb2,x_ftilde,2,u,0.3,10.0,151,0.00010617748675554167,0.00020819592630651467,0.0003395721551208876
expb,expb2,x_ftilde,2,u,0.5,5.0,123,6.241710443129925e-08,1.7613299550513428e-07,4.575122450835996e-07
expb,expb2,x_ftilde,2,u,0.5,10.0,125,6.203269196116558e-08,2.0311717791195788e-07,4.5463913428924845e-07
taper,expb2,ftilde,-2,ubar,0.1,5.0,133,0.010373785951373853,0.027690942328586172,0.0395257899695446
taper,expb2,ftilde,-2,ubar,0.1,10.0,143,0.010582972499756092,0.02871648120273824,0.04025761148395095
taper,expb2,ftilde,-2,ubar,0.2,5.0,141,0.005644778789820203,0.012771288622664988,0.026343072178759586
taper,expb2,ftilde,-2,ubar,0.2,10.0,143,0.005601170972069878,0.012310573768785011,0.026636440028095777
taper,expb2,ftilde,-2,ubar,0.3,5.0,143,0.0012503906089013543,0.0034493538969403233,0.0047578986611656665
taper,expb2,ftilde,-2,ubar,0.3,10.0,147,0.0012379838525714494,0.0033621068174726197,0.004298618484877894
taper,expb2,ftilde,-2,ubar,0.5,5.0,139,3.3407307146798325e-05,7.964507904634305e-05,0.000254585839547924
taper,expb2,ftilde,-2,ubar,0.5,10.0,143,3.36927551678103e-05,7.601241668787946e-05,0.00028753179262643453
taper,expb2,ftilde,-1,dbar,0.1,5.0,127,0.010646328640324646,0.027165543606535,0.03154787113917684
taper,expb2,ftilde,-1,dbar,0.1,10.0,135,0.01077551157982974,0.028043431593648572,0.04304417062181683
taper,expb2,ftilde,-1,dbar,0.2,5.0,139,0.005734849553459006,0.01330667958378759,0.024567997303552764
taper,expb2,ftilde,-1,dbar,0.2,10.0,141,0.005695785283931258,0.013054813249801704,0.027216102333082793
taper,expb2,ftilde,-1,dbar,0.3,5.0,139,0.001272548931129435,0.0030253258769271023,0.005591628602440331
taper,expb2,ftilde,-1,dbar,0.3,10.0,142,0.0012638890445563567,0.003451883790874404,0.00516426939738442
taper,expb2,ftilde,-1,dbar,0.5,5.0,129,3.47555508393642e-05,9.320297989628645e-05,0.00010775733875627927
taper,expb2,ftilde,-1,dbar,0.5,10.0,131,3.356819514810272e-05,8.650416998232864e-05,0.00010072354412475562
taper,expb2,ftilde,1,d,0.1,5.0,131,0.01062997330327551,0.02735886214181375,0.037031167237709314
taper,expb2,ftilde,1,d,0.1,10.0,141,0.010708526717703941,0.028197419067564303,0.0415293528990389
taper,expb2,ftilde,1,d,0.2,5.0,143,0.005559575320736133,0.012607730501896092,0.02763071749933353
taper,expb2,ftilde,1,d,0.2,10.0,145,0.005522101167498166,0.0121553997402026,0.027083000787835154
taper,expb2,ftilde,1,d,0.3,5.0,142,0.0012580033152651828,0.0033684623078109404,0.004878008116370204
taper,expb2,ftilde,1,d,0.3,10.0,146,0.00124710887554364,0.0036766403575965263,0.00431766227486541
taper,expb2,ftilde,1,d,0.5,5.0,121,3.980846989712794e-05,0.00014296283584073506,0.00016217355447864322
taper,expb2,ftilde,1,d,0.5,10.0,122,3.9562169017141e-05,0.00013215820981600005,0.00014898560180323723
taper,expb2,ftilde,2,u,0.1,5.0,140,0.010700361433246671,0.0268752896817384,0.04033439889168826
taper,expb2,ftilde,2,u,0.1,10.0,151,0.010807623801935593,0.030912545977260095,0.03653428919336264
taper,expb2,ftilde,2,u,0.2,5.0,145,0.00545276906273384,0.011753821750531798,0.025992260570311114
taper,expb2,ftilde,2,u,0.2,10.0,148,0.005402680196064134,0.01153374918807941,0.02552055282932863
taper,expb2,ftilde,2,u,0.3,5.0,146,0.0012660281046277936,0.003498235840408418,0.004190629015992464
taper,expb2,ftilde,2,u,0.3,10.0,151,0.0012511690952843927,0.003117059239860723,0.0037784773201284265
taper,expb2,ftilde,2,u,0.5,5.0,123,3.9046975556175906e-05,0.0001246282481938728,0.0001392445616787344
taper,expb2,ftilde,2,u,0.5,10.0,125,3.8855408234426434e-05,0.000117128591171193,0.00013111054544698078
taper,expb2,x_ftilde,-2,ubar,0.1,5.0,133,0.010373785951374429,0.027690942328578962,0.039525789969534715
taper,expb2,x_ftilde,-2,ubar,0.1,10.0,143,0.010582972499755525,0.028716481202732593,0.04025761148393953
taper,expb2,x_ftilde,-2,ubar,0.2,5.0,141,0.00564477878981719,0.01277128862266512,0.02634307217874533
taper,expb2,x_ftilde,-2,ubar,0.2,10.0,143,0.005601170972063901,0.012310573768779734,0.026636440028064246
taper,expb2,x_ftilde,-2,ubar,0.3,5.0,143,0.0012503906089058228,0.0034493538969520327,0.004757898661137085
taper,expb2,x_ftilde,-2,ubar,0.3,10.0,147,0.0012379838525741137,0.003362106817429147,0.004298618484878891
taper,expb2,x_ftilde,-2,ubar,0.5,5.0,139,3.3407307146798325e-05,7.964507934930369e-05,0.00025458583954806566
taper,expb2,x_ftilde,-2,ubar,0.5,10.0,143,3.369275516781287e-05,7.601241668790624e-05,0.0002875317926263967
taper,expb2,x_ftilde,-1,dbar,0.1,5.0,127,0.010646328640324578,0.027165543606531724,0.03154787113917785
taper,expb2,x_ftilde,-1,dbar,0.1,10.0,135,0.010775511579827647,0.028043431593651694,0.04304417062181314
taper,expb2,x_ftilde,-1,dbar,0.2,5.0,139,0.005734849553460367,0.013306679583789218,0.02456799730357968
taper,expb2,x_ftilde,-1,dbar,0.2,10.0,141,0.005695785283931544,0.013054813249811899,0.027216102333092625
taper,expb2,x_ftilde,-1,dbar,0.3,5.0,139,0.0012725489311222733,0.003025325876875793,0.005591628602351987
taper,expb2,x_ftilde,-1,dbar,0.3,10.0,142,0.0012638890445573875,0.003451883790836346,0.005164269397361935
taper,expb2,x_ftilde,-1,dbar,0.5,5.0,129,3.475555087575447e-05,9.320298030980354e-05,0.00010775733875627927
taper,expb2,x_ftilde,-1,dbar,0.5,10.0,131,3.3568195147932395e-05,8.650416998234956e-05,0.00010072354412460952
taper,expb2,x_ftilde,1,d,0.1,5.0,131,0.01062997330327527,0.027358862141813708,0.03703116723771092
taper,expb2,x_ftilde,1,d,0.1,10.0,141,0.010708526717703842,0.028197419067563907,0.04152935289903571
taper,expb2,x_ftilde,1,d,0.2,5.0,143,0.005559575320736222,0.012607730501893951,0.027630717499341203
taper,expb2,x_ftilde,1,d,0.2,10.0,145,0.005522101167498231,0.012155399740201635,0.02708300078783952
taper,expb2,x_ftilde,1,d,0.3,5.0,142,0.0012580033152658392,0.0033684623078068577,0.004878008116367176
taper,expb2,x_ftilde,1,d,0.3,10.0,146,0.0012471088755423058,0.0036766403575970294,0.004317662274871461
taper,expb2,x_ftilde,1,d,0.5,5.0,121,3.980846989913873e-05,0.00014296283585202952,0.00016217355447864322
taper,expb2,x_ftilde,1,d,0.5,10.0,122,3.956216901594712e-05,0.00013215820980474712,0.00014898560180323723
taper,expb2,x_ftilde,2,u,0.1,5.0,140,0.010700361433246281,0.02687528968173739,0.04033439889168884
taper,expb2,x_ftilde,2,u,0.1,10.0,151,0.010807623801934972,0.030912545977258024,0.03653428919336124
taper,expb2,x_ftilde,2,u,0.2,5.0,145,0.005452769062734117,0.011753821750531072,0.025992260570314295
taper,expb2,x_ftilde,2,u,0.2,10.0,148,0.005402680196064357,0.01153374918807877,0.025520552829325183
taper,expb2,x_ftilde,2,u,0.3,5.0,146,0.0012660281046282776,0.0034982358404087436,0.0041906290159913285
taper,expb2,x_ftilde,2,u,0.3,10.0,151,0.0012511690952840676,0.003117059239858908,0.003778477320123559
taper,expb2,x_ftilde,2,u,0.5,5.0,123,3.904697555677886e-05,0.0001246282481891063,0.00013924456167873497
taper,expb2,x_ftilde,2,u,0.5,10.0,125,3.8855408235056165e-05,0.00011712859117339308,0.00013111054544698078
