dataset,row_id,target,qT,qT_low,qT_high,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,unit,qT_over_Q,conversion_mode,source_file,source_row
E605,E605:51,,2.1,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.00679,0.000636,0.00679,0.000636,,,,,0.168,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,51
E605,E605:52,,2.3,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0044,0.00055,0.0044,0.00055,,,,,0.184,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,52
E605,E605:53,,2.5,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.00334,0.000483,0.00334,0.000483,,,,,0.2,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,53
E605,E605:54,,2.7,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.00262,0.00042,0.00262,0.00042,,,,,0.21600000000000003,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,54
E605,E605:55,,2.9,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.00165,0.00033,0.00165,0.00033,,,,,0.23199999999999998,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,55
E605,E605:56,,3.1,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0012,0.000284,0.0012,0.000284,,,,,0.248,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,56
E605,E605:57,,3.3,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.00111,0.000298,0.00111,0.000298,,,,,0.264,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,57
E605,E605:58,,3.5,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.000654,0.000243,0.000654,0.000243,,,,,0.28,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,58
E605,E605:59,,0.1,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.024,0.00546,0.024,0.00546,,,,,0.006349206349206349,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,59
E605,E605:60,,0.3,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.0206,0.0029,0.0206,0.0029,,,,,0.019047619047619046,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,60
E605,E605:61,,0.5,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.0188,0.00213,0.0188,0.00213,,,,,0.031746031746031744,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,61
E605,E605:62,,0.7,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.0171,0.00172,0.0171,0.00172,,,,,0.04444444444444444,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,62
E605,E605:63,,0.9,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.00973,0.00116,0.00973,0.00116,,,,,0.05714285714285714,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,63
E605,E605:64,,1.1,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.0107,0.00109,0.0107,0.00109,,,,,0.06984126984126984,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,64
E605,E605:65,,1.3,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.00791,0.000879,0.00791,0.000879,,,,,0.08253968253968254,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,65
E605,E605:66,,1.5,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.00605,0.000697,0.00605,0.000697,,,,,0.09523809523809523,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,66
E605,E605:67,,1.7,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.0035,0.000509,0.0035,0.000509,,,,,0.10793650793650793,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,67
E605,E605:68,,1.9,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.00194,0.000359,0.00194,0.000359,,,,,0.12063492063492062,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,68
E605,E605:69,,2.1,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.002,0.000366,0.002,0.000366,,,,,0.13333333333333333,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,69
E605,E605:70,,2.3,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.00136,0.000294,0.00136,0.000294,,,,,0.146031746031746,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,70
E605,E605:71,,2.5,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.00136,0.000288,0.00136,0.000288,,,,,0.15873015873015872,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,71
E605,E605:72,,2.7,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.0006,0.000191,0.0006,0.000191,,,,,0.17142857142857143,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,72
E605,E605:73,,2.9,,,15.75,13.5,18.0,-0.122865244,-0.107570202,-0.143213646,-0.1,0.0,0.0,0.358995608,0.458995608,38.8,,0.000435,0.000166,0.000435,0.000166,,,,,0.1841269841269841,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,73
E605,E605:74,,0.1,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.182,0.0114,0.182,0.0114,,,,,0.010080645161290324,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,74
E605,E605:75,,0.3,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.217,0.00846,0.217,0.00846,,,,,0.030241935483870965,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,75
E605,E605:76,,0.5,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.19,0.00637,0.19,0.00637,,,,,0.05040322580645162,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,76
E605,E605:77,,0.7,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.178,0.00528,0.178,0.00528,,,,,0.07056451612903225,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,77
E605,E605:78,,0.9,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.164,0.00463,0.164,0.00463,,,,,0.0907258064516129,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,78
E605,E605:79,,1.1,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.138,0.00403,0.138,0.00403,,,,,0.11088709677419356,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,79
E605,E605:80,,1.3,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.106,0.0034,0.106,0.0034,,,,,0.1310483870967742,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,80
E605,E605:81,,1.5,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.0909,0.00325,0.0909,0.00325,,,,,0.15120967741935484,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,81
E605,E605:82,,1.7,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.0661,0.0028,0.0661,0.0028,,,,,0.17137096774193547,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,82
E605,E605:83,,1.9,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.0591,0.00284,0.0591,0.00284,,,,,0.19153225806451613,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,83
E605,E605:84,,2.1,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.0414,0.00249,0.0414,0.00249,,,,,0.21169354838709678,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,84
E605,E605:85,,2.3,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.0309,0.00238,0.0309,0.00238,,,,,0.2318548387096774,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,85
E605,E605:86,,2.5,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.0262,0.00254,0.0262,0.00254,,,,,0.25201612903225806,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,86
E605,E605:87,,2.7,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.0182,0.00245,0.0182,0.00245,,,,,0.27217741935483875,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,87
E605,E605:88,,2.9,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.00876,0.0018,0.00876,0.0018,,,,,0.2923387096774194,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,88
E605,E605:89,,3.1,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.0134,0.0033,0.0134,0.0033,,,,,0.3125,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,89
E605,E605:90,,3.3,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.004,0.00127,0.004,0.00127,,,,,0.3326612903225806,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,90
E605,E605:91,,3.5,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.00482,0.00201,0.00482,0.00201,,,,,0.3528225806451613,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,91
E605,E605:92,,3.9,,,9.92,9.36,10.48,0.194338918,0.18407325,0.205808958,0.1,0.0,0.0,0.310513342,0.210513342,38.8,,0.00247,0.00139,0.00247,0.00139,,,,,0.39314516129032256,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,92
