dataset,row_id,target,qT,qT_low,qT_high,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,unit,qT_over_Q,conversion_mode,source_file,source_row
E288_300,E288_300:39,,1.5,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.182,0.02,0.182,0.02,,,,,0.23076923076923078,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,39
E288_300,E288_300:40,,1.7,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.11,0.014,0.11,0.014,,,,,0.26153846153846155,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,40
E288_300,E288_300:41,,1.9,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.072,0.013,0.072,0.013,,,,,0.29230769230769227,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,41
E288_300,E288_300:42,,2.1,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.0408,0.0099,0.0408,0.0099,,,,,0.3230769230769231,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,42
E288_300,E288_300:43,,2.3,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.0219,0.0068,0.0219,0.0068,,,,,0.3538461538461538,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,43
E288_300,E288_300:44,,2.5,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.019,0.0065,0.019,0.0065,,,,,0.38461538461538464,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,44
E288_300,E288_300:45,,2.7,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.0079,0.004,0.0079,0.004,,,,,0.4153846153846154,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,45
E288_300,E288_300:46,,2.9,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.011,0.005,0.011,0.005,,,,,0.4461538461538461,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,46
E288_300,E288_300:47,,3.1,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.0019,0.0019,0.0019,0.0019,,,,,0.47692307692307695,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,47
E288_300,E288_300:50,,0.1,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.286,0.039,0.286,0.039,,,,,0.013333333333333334,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,50
E288_300,E288_300:51,,0.3,,,7.5,7.0,8.0,0.21,0.197047595,0.22476024,0.133758347,0.124841124,0.142675571,0.390019266,0.256260918,23.72340616,300.0,0.253,0.022,0.253,0.022,,,,,0.04,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,51
